model,MAE,RMSE,R2
Decision Tree,0.1509433962264151,0.38851434494290565,0.8730253799505877
Random Forest,0.19306603773584904,0.2977117923777201,0.9254418918918919
Linear Regression,0.31002658351103324,0.4361313846624237,0.8399935517294709
Ridge,0.31296609840110207,0.4503542090009375,0.8293873390121458
Lasso,0.3835038254237012,0.5291169885831547,0.7644917007145547
Dummy (median),0.8584905660377359,1.1116874815359636,-0.03960470165456309
Dummy (mean),0.9090091469248727,1.0903237943216424,-3.174002761574535e-05
