eval_set,n_rows,MAE,RMSE,R2
seen_countries (held-back rows),190,0.1608421052631579,0.2571590742588801,0.952987899017349
unseen_countries (fully held out),190,0.3908947368421053,0.5360434978422436,0.6994707092362962
